Eligible Credit Cards,Eligible Debit Cards
ICICI Bank Sapphiro Credit Card,Kotak Privy Business Debit Card
SBI Pulse Credit Card,Kotak Privy Neon League Debit Card
RBL Bank VCard,"Kotak Business Privy League Neon Platinum
"
Simplyclick Advantage SBI Card,"Kotak Privy League Black Debit Card
"
Federal Bank Scapia Credit Card,Kotak Privy+ Business Debit Card
Aditya Birla SBI Card,Kotak Privy+ Debit Card
Axis Bank Rewards Credit Card,Kotak Privy Debit Card
Kotak 811 Credit Card,Kotak Privy League Platinum Debit Card
Bajaj Finance Platinum Max Supercard,Kotak Infinite Debit Card
Canara Bank Visa Gold Credit Card,Kotak PVR Debit Card
SIB Onecard Credit Card,Kotak Nation Builders Debit Card
HSBC Live+ Credit Card,Kotak Signature Pro Debit Card
HSBC Premier Mastercard Credit Card,Kotak Rupay Debit Card
Reliance SBI Card Prime,Kotak 811 Infinity Metal Debit Card
6E Rewards XL IndiGo HDFC Bank Credit Card,Kotak #811 Dream Different Debit Card
SBM Kredit.Pe Credit Card,"Kotak Privy League Signature Debit Card 
"
Standard Chartered Super Value Titanium Credit Card,Kotak Silk Platinum Debit Card
Bandhan Bank One Credit Card,Kotak Business Power Platinum Debit Card
Simplysave Advantage SBI Card,Kotak Everyday+ Debit Card
Flipkart Axis Bank Superelite Credit Card,Kotak Everyday Debit Card
KVB Honour Credit Card,Kotak Classic One Debit Card
Air India SBI Platinum Credit Card,Kotak World Debit Card
UCO Bank SBI Card Prime,Kotak Junior Debit Card
City Union Bank SBI Simplysave Credit Card,Kotak #PayShopMore Debit Card
Kotak Mojo Platinum Credit Card,Kotak Privy League Platinum Debit Card
HDFC Bank UPI Rupay Biz Credit Card,"Kotak Gold Debit Card 
"
RBL Bank Platinum Prime Credit Card,Kotak Jifi Platinum Debit Card
Spar SBI Card Select,"Kotak Business Class Gold Debit Card
"
IRCTC SBI Platinum Card,Kotak Platinum Debit Card
Intermiles HDFC Bank Diners Club Credit Card,AU Gold Business Debit Card
RBL Bank Patanjali Swarn RuPay Card,AU Ivy Eternity Royale Debit Card
ICICI Bank Coral Credit Card,AU Royale Business Debit Card
Bajaj Finance Platinum Prime Supercard,AU Visa Business Gold Debit Card
IDFC First Private Credit Card,AU Royale Debit Card
Indian Army Yoddha Bobcard,AU Visa Gold Debit Card
HPCL Energie Bobcard,AU Platinum Debit Card
Tata Card Select,AU Royale World Debit Card
J&K Bank Platinum Credit Card,AU Platinum Business Debit Card
Platinum ValuePlus SuperCard,AU RuPay Platinum Debit Card
Flipkart Axis Bank Credit Card,AU RuPay Classic Debit Card
Apollo SBI Card Select,AU Visa Business Platinum Debit Card
RBL Bank Platinum ShopDaily Credit Card,AU Mastercard Platinum Debit Card
PNB Rakshak Rupay Platinum Card,AU swipe&save Debit Card
Indusind Eazydiner Platinum Credit Card,Equitas Visa Classic Debit Card
Indianoil Kotak Credit Card,Equitas Visa Platinum Debit Card
RBL Bank World Prime Credit Card,Equitas Visa Signature Debit Card
ICICI Bank Emeralde Credit Card,Equitas Visa Gold Debit Card
Tata Platinum Card Select,Equitas Rupay Classic Debit Card
IndianOil RBL Bank Credit Card,Equitas Rupay Platinum Debit Card
Bajaj Finserv DBS Bank 10X Plus Signature SuperCard,"Equitas RuPay Insta Classic Saving Debit Card 

"
Axis Bank Privilege Credit Card,"Equitas RuPay Insta Classic Current Debit Card

"
Canara Bank Rupay Select Credit Card,Capital Classic Debit Card
RBL Bank World Max Credit Card,Capital Classic Business Debit Card
Simplyclick SBI Card,Capital Platinum Debit Card
IndusInd Intermiles Odyssey Visa Credit Card,Capital Platinum Business Debit Card
RBL Bank Platinum Plus Credit Card,Capital International Platinum Debit Card
SBM Magnet Credit Card,Capital Virtual Debit Card
IndusInd Celesta American Express Credit Card,Utkarsh RuPay Classic Domestic Debit Cards
Ixigo AU Travel Credit Card,Utkarsh RuPay Platinum Domestic Debit Cards
Lifestyle Home Centre SBI Card Prime,Utkarsh RuPay Select International Contactless Debit Cards
IDFC First Ashva Credit Card,Utkarsh Mastercard Gold International Contactless Debit Cards
PNB RuPay Platinum Credit Card,Utkarsh Mastercard Platinum International Contactless Debit Cards
American Express Smartearn Credit Card,Utkarsh RuPay Classic International Contactless Debit Card
6E Rewards Indigo HDFC Bank Credit Card,Utkarsh RuPay Platinum International Contactless Debit Card
ICICI Parakram Select Credit Card,Shivalik RuPay Classic Debit Card
LIC Axis Bank Platinum Credit Card,Shivalik RuPay Platinum Debit Card
IndusInd Eazydiner Credit Card,Airtel APBL Platinum Debit Card ? Personalized
Prime Bobcard,Airtel Personalized Classic Debit Card
RBL Bank Bankbazaar Savemax Credit Card,Airtel Insta Classic Debit Card (non-personalized)
Kotak Urbane Gold Credit Card,Airtel Business (Corporate) Debit Card
Bajaj Finance Platinum Choice Super Card,Airtel Wearable Debit Card (smartwatch/band form factor)
Emirates Skywards Rubyx Credit Card,Airtel Transit Debit Card (NCMC-enabled)
Karnataka Bank SBI Card Prime,Airtel Virtual Debit Card (digital-only via Airtel Thanks app)
Bank of India Visa Gold Credit Card,Airtel Eco-friendly Debit Card
City Union Bank SBI Card Prime,Fino Platinum Debit Card
SBI Card Elite,Central Bank Rupay Select Wellness Card
RBL Bank Platinum Maxima Credit Card,Central Bank Visa Signature Debit Card
Canara Bank Visa Platinum Credit Card,Central Bank Rupay Platinum Debit Card
Yes Prosperity Cashback Credit Card,Central Bank Rupay Classic Debit Card
ICICI Bank Manchester United Signature Credit Card,Central Bank Business Debit Card
Federal Bank Wave Credit Card,Central Bank Visa Platinum Card
ICICI Bank Expressions Credit Card,Bank of India Rupay Platinum Debit Card
Spar SBI Card,Bank of India Master Titanium Debit Card
YES Bank Marquee Credit Card,Bank of India RuPay Sangini Debit card
Bank of India Rupay Platinum Credit Card,Bank of India Rupay PMJDY Debit card
ICICI Parakram Credit Card,Bank of India Rupay Mudra Debit card
RBL Bank EasySaver Credit Card,Bank of India Rupay Kisan Debit card
RBL Bank SalarySe Up RuPay Credit Card,Bank of India Rupay Punjab Arthia card
Bank of India SwaDhan Rupay Platinum Credit Card,Bank of India Mastercard Platinum Contactless Debit Card
Kotak League Platinum Credit Card,Bank of India Visa Paywave (Platinum) Debit Card
TVS Credit RBL Bank Card,Bank of India VISA Classic Debit Card
IRCTC RBL Bank Credit Card,Bank of India Rupay NCMC Debit Card
PNB EMT Rupay Platinum Credit Card,Bank of India Master Bingo Debit card
RBL Bank Play Credit Card,Bank of India Visa Bingo Debit Card
Karur Vysya Bank SBI Platinum Credit Card,Canara Bank Rupay Select Debit Card
ICAI Exclusive Bobcard,Canara Bank Mastercard World Debit Card
Yes Prosperity Cashback Plus Credit Card,Canra Bank Visa Platinum Debit Card
Axis Bank Signature Credit Card,Canara Bank Rupay Platinum International Debit Card
Max SBI Card Select,Canara Bank Mastercard World NRI Platina Debit Card
RBL Bank Cookie Credit Card,Canara Bank Visa Classic Debit Card
Axis Bank Freecharge Plus Credit Card,Canara Bank Rupay Platinum Domestic Debit Card
UCO Bank SBI Card Prime,Canara Bank Mastercard Platinum Women Debit Card
Intermiles Amex Voyage Credit Card,Canara Bank Mastercard Platinum Millennial Debit Card
Tata Star Select Credit Card,Canara Bank Rupay Classic Debit Card
HSBC Taj Credit Card,Canara Bank Mastercard Platinum Debit Card
Canara Bank Mastercard Platinum Credit Card,Canara Bank Mastercard Business Debit Card
Tata Titanium Card,Canara Bank MasterCard Standard Debit Card
Marriott Bonvoy HDFC Bank Credit Card,Indian Bank Shakti Gold Rupay Select Card
UCO Bank Simplysave SBI card,Indian Bank Pro Platinum Rupay Select Card
American Express Membership Rewards Credit Card,Indian Bank Pro Gold Rupay Select Card
ICICI Bank Times Black Credit Card,Indian Bank RuPay Platinum Card (Contact)
Axis Bank Platinum Credit Card,Indian Bank RuPay Platinum Card (Contactless)
Axis Bank Shoppers Stop Credit Card,Indian Bank Rupay International Platinum Card (Contact)
Adani One ICICI Signature Credit Card,Indian Bank RuPay Debit Select Card (Contactless)
Axis Bank Vistara Credit Card,Indian Bank Rupay Classic contactless card (NCMC)
LIC Axis Bank Signature Credit Card,Indian Bank DIGI- RuPay Classic Card
Bajaj Finance Platinum TravelEasy SuperCard,Indian Bank DIGI- Rupay Classic Card (Contactless)
CUB SBI Prime Card,Indian Bank Senior Citizen Debit Card (Contact)
Chennai Super Kings ICICI Bank Credit Card.,Indian Bank PMJDY Card (Contact)
Axis Bank Freecharge Credit Card,Indian Bank PMJDY Card (Contactless)
Yes EMI Credit Card,Indian Bank Kalaignar Magalir Urimai Thittam (KMUT) Scheme Cards ? Contactless
Yes Reserv Credit Card,Indian Bank Rupay Kisan Card
HDFC Bank Biz Grow Credit Card,Indian Bank MasterCard World (Contact)
SimplySave SBI Card,Indian Bank MasterCard World Platinum (Contactless)
HDFC Biz Black Metal Edition Credit Card,Indian Bank MasterCard E ? purse Debit Card
Assam Rifles The Sentinel Bobcard,Indian Bank MUDRA Card (Micro Units Development and Refinance Agency)
ICICI HPCL Coral Credit Card,Union Bank HNI Emperio Metal Debit Card
First Citizen Citi Credit Card,Union Bank Rupay Empower Her Debit Card
Standard Chartered Easemytrip Credit Card,Union Bank Qsparc Debit Card (Rupay)
Axis Bank Pride Signature Credit Card,Union Bank of India Business Debit Card (Platinum)
Canara Bank Rupay Platinum Secured Credit Card,Union Bank of India Classic Debit Card Rupay
HDFC Bank Freedom Credit Card,Union Bank of India Classic Debit Card Visa
Central Bank of India SBI Prime Card,Union Bank of India Platinum Debit Card
ICICI Bank Rubyx Credit Card,Union Bank of India Contactless Debit Card Visa
RBL Bank MyFirst Mastercard Credit Card,Union Bank of India Signature Contactless Debit Card (Visa)
CSC Small Business MoneyBack Credit Card,Union Bank of India Rupay Select Debit Card
Ola Money SBI Credit Card,Union Bank of India Business Platinum Debit Card
HDFC Millennia Credit Card,Union Bank of India Rupay JCB Platinum Urnro and Urnre
Club Vistara SBI Card,SBI Premier Diamond Platinum Debit Card
Central Bank of India SBI Elite Credit Card,SBI Govt Rupay Debit Card
Union Bank of India Visa Gold Credit Card,SBI Wealth Rupay Debit Card
ICSI Diamond Bobcard,SBI Virtual Debit Card
Indusind Samman RuPay Credit Card,SBI Global International Debit Card
Tata Star Card Select,SBI Platinum International Debit Card
DBS Spark 10 Credit Card,SBI My Card International Debit Card
City Union Bank SimplySave SBI Card,SBI IOCL Co-Branded Contactless RuPay Debit Card
Federal Bank AmpliFi Credit Card,SBI Gold International Debit Card
Adani One ICICI Platinum Credit Card,SBI Nari Shakti Platinum Debit Card
Myntra Kotak Credit Card,SBI Pragati Platinum Debit Card
Indusind Crest Credit Card,SBI Mastercard World Debit Card
BOB Easy Credit Card,SBI HPCL Co-Branded Debit Card (Everyday Card)
HDFC Moneyback Credit Card,SBI One Touch Debit Card
Indusind Pioneer Heritage Credit Card,Bank of Baroda Bhoomi RuPay Select Debit Card
RBL Bank Moneytap Credit Card,Bank of Baroda EaseMyTrip Debit Card
RBL Bank Icon Credit Card,Bank of Baroda World VISA Opulence Debit Card
IDBI Euphoria World Credit Card,Bank of Baroda RuPay Select Debit Card
Union Bank of India Rupay Select Credit Card,Bank of Baroda Visa Platinum Debit Card
RBL Bank Platinum Shopgain Credit Card,Bank of Baroda MasterCard Platinum Debit Card
Paytm SBI Credit Card,Bank of Baroda Rupay Platinum Debit Card
BPCL SBI Credit Card,Bank of Baroda VISA Vyapaar Debit Card
IDFC First Power Credit Card,Baroda BPCL Debit Card
Lifestyle Home Centre SBI Card Select,Bank of Baroda World Yoddha Debit Card
Kotak IndiGo 6E Rewards XL Credit Card,Bank of Baroda World Agniveer Debit Card
IDFC First SWYP Credit Card,Bank of Baroda Visa Classic Debit Card
RBL Bank Monthly Treats Credit Card,Bank of Baroda MasterCard Classic Debit Card
Axis Bank Titanium Smart Traveller Credit Card,Bank of Baroda Rupay Classic Debit Card
Axis Insta Easy Credit Card,"Bank of Baroda RuPay Qsparc NCMC Debit Card 
"
South Indian Bank SBI Platinum Credit Card,Bank of Baroda World VISA Sapphire Debit Card
HDFC All Miles Credit Card,Bank of Baroda Virtual Debit Card
HDFC Bank World Mastercard Credit Card,Bank of Baroda inSIGHT Braille Debit Card
IDFC First Wealth Credit Card,Bank of Baroda Mastercard World Debit card
Airtel Axis Bank Credit Card,
RBL Bank iGlobe Credit Card,UCO Bank RuPay Platinum Insta Contactless Debit Card
YES Bank Paisabazaar Paisasave Credit Card,UCO RuPay Platinum Personalised Contactless Debit Card
IDFC First Mayura Credit Card,UCO Bank RuPay Select Personalised Debit Card
RBL Bank Paisabazaar Duet Plus Card,UCO Bank Visa Personalised Contactless Debit Card
Yatra SBI Card,UCO Bank VISA Personalised International Debit Card
IndusInd Bank Platinum RuPay Credit Card,UCO Bank RuPay Platinum International Debit Card
Axis KWIK Credit Card,UCO Bank RuPay Metal ETERNA Debit Card
Canara Bank Visa Corporate Credit Card,UCO Bank Aprajita Debit Card
BPCL SBI Card Octane,PNB Rupay NCMC Classic Debit Card
TVS Credit RBL Bank Gold Card,PNB Rupay NCMC Platinum Domestic Debit Card
Indusind Platinum Visa Credit Card,PNB Rupay NCMC Platinum International Debit Card
HDFC Diners Club Black Credit Card,PNB Rupay Select Debit Card
Reliance SBI Card,PNB Rupay Women Power Platinum Debit Card
Tata Croma Card Select,PNB Business Platinum NCMC Debit Card
IDFC First Select Credit Card,PNB Visa Classic Debit Card
MoneyTap Black Card,Rupay Business Platinum NCMC Debit Card
IDFC First Classic Credit Card,PNB Visa Gold Debit Card
IndusInd ePay Amex Credit Card,PNB Visa Signature Debit Card
Canara Bank Rupay Platinum Credit Card,PNB MasterCard Classic Debit Card
IDFC First Earn RuPay Credit Card,PNB MasterCard Platinum Debit Card
Etihad Guest Premier SBI Card,PNB MasterCard Business Debit Card
AU Altura Plus Credit Card,PNB Rupay Classic Virtual Debit Card
Bajaj Finance Easysaver Super Card,PNB Rupay Select Neo Debit Card
Intermiles HDFC Bank Platinum Credit Card,PNB Rupay Select Excel Debit Card
Axis Bank Vistara Signature Credit Card,PNB Rupay Select Optima Debit Card
Axis Bank MY Zone Credit Card,PNB Rupay Select Imperial Debit Card
PSB SimplySAVE SBI Card,PNB Rupay Select Rakshak Debit Card
UNI Carbon Credit Card.,PNB Rupay Select Rakshak Optima Debit Card
Equitas Elegance Credit Card,PNB Rupay Select Rakshak Imperial Debit Card
HDFC Bank Business Regalia First Credit Card,PNB Rupay Select Samriddhi Debit Card
Air India SBI Signature Card,PNB Rupay Platinum Harit Debit Card
American Express Platinum Travel Credit Card,PNB Rupay Platinum Pearl Debit Card
Bajaj Finance Platinum LifeEasy SuperCard,PNB Rupay Platinum Emerald Debit Card
IndusInd Pioneer Legacy Credit Card,PNB Rupay Platinum Solitaire Debit Card
PNB Rupay Millennial Card,PNB Rupay Platinum Vishwas & Varishth Debit Card
Spar SBI Card Prime,PNB Rupay Platinum Vaibhav Debit Card
Yes Prosperity Reward Plus Credit Card,PNB Rupay Palaash Recycled PVC Debit Card
Flipkart Wholesale HDFC Bank Credit Card,PNB Rupay Antah Drishti Braille Debit Card
AU Zenith Credit Card,PNB Pay ON-THE-GO Wearable Debit Card
Eterna Bobcard,PNB MasterCard World Grand Debit Card
RBL Bank Binge Credit Card,PNB MasterCard Platinum Rise Debit Card
American Express Gold Charge Card,PNB MasterCard Platinum Grow Debit Card
Yes Bank Card Anq Phi Credit Card,PNB MasterCard Classic Domestic Debit Card
CITI Prestige Credit Card,PNB MasterCard Classic International Debit Card
HDFC Bank Biz Power Credit Card,SIB Mastercard World NFC Debit Card
KVB SBI Signature Card,SIB Mastercard Business Platinum NFC Debit Card
Karnataka Bank SBI Card Prime,SIB Visa Platinum NFC Debit Card
UCO Bank SBI Card Elite,SIB Mastercard Platinum NFC Debit Card
Kotak IndiGo 6E Rewards Credit Card,SIB Visa Classic NFC Debit Card
Indian Navy Varunah Premium Bobcard,SIB Rupay Kisan Debit Card
Kotak Zen Signature Credit Card,SIB Rupay Mudra Debit Card
Standard Chartered Rewards Credit Card,SIB Rupay PMJDY Debit Card
IndianOil Axis Bank Credit Card,SIB RuPay Classic NCMC Debit Card
CMA One Bobcard,SIB Visa Classic Debit Card
Bajaj Finance Platinum Advantage SuperCard,SIB MasterCard Titanium Debit Card
ICICI Manchester United Platinum Credit Card,SIB RuPay Platinum EMV Debit Card
Shaurya SBI Card,SIB Rupay Platinum Explorer NCMC Debit Card
SBI Card Prime Advantage,SIB MasterCard Platinum Debit Card
SBI Card Miles,SIB Visa Platinum Debit Card
South Indian Bank Simplysave SBI Card,SIB Visa Platinum EMV NFC
RBL Platinum Maxima Plus Card,SIB MasterCard Platinum Business Debit Card
Bank of India Master Platinum International Credit Card,SIB MasterCard World Debit Card
CITI Rewards Credit Card,SIB Visa Signature NFC Debit Card
Paytm HDFC Bank Business Credit Card,IDFC First Private Debit Card
Amazon Pay ICICI Bank Credit Card,IDFC First Wealth Debit Card
IDBI Aspire Platinum,IDFC First Select Debit Card
American Express Platinum Reserve Credit Card,IDFC World Debit Mastercard Debit Card
Bajaj Finance Platinum Shopsmart SuperCard,IDFC Visa Signature Debit Card
Federal Bank MagniFi Credit Card,IDFC Visa Platinum Debit Card
ICICI Bank Sapphiro Credit Card,IDFC Visa Classic Debit Card
Canara Bank VISA Classic Credit Card,IDFC RuPay Platinum Debit Card
AU Altura Credit Card,IDFC RuPay Classic Debit Card
Samsung Axis Bank Signature Credit Card,IDFC Visa Platinum Business Debit Card
RBL Bank Platinum Bonus Credit Card,IDFC Visa Signature Business Debit Card
Bankbazaar Savemax Pro Credit Card,HDFC Platinum Debit Card
Canara Bank Visa Gold Secured Credit Card,HDFC Imepria Platinum Debit Card
Bajaj Finserv DBS Bank 5X Plus Rewards Super Card,HDFC Preferred Platinum Debit Card
SBM Onecard Credit Card,HDFC Classic Platinum Debit Card
AU Bank Zenith+ Credit Card,HDFC Vishesh Platinum Debit Card
Bajaj Finance Platinum Bonus SuperCard,HDFC GIGA Business Debit Card
Bajaj Finance World Plus SuperCard,HDFC Millennia Debit Card
